title,가고싶다,평점,감성점수,맛있다,가격,웨이팅,서비스,분위기,표준화_감성점수,맛있다,가격,웨이팅,서비스,분위기,가고싶다,평점,감성*맛+0.5*평점+0.5*가고싶다수,가격,웨이팅,서비스,분위기
상춘재,6507,4.6,1.75,2.7148,0,0,0.922,0,1.16,-0.18,-0.58,-0.6,-0.25,-0.67,1.6,1.16,1.1712,0.7072,0.684,1.09,0.6028
상춘재,6507,4.6,1.73,5.717,0,0.9644,5.9056,4.4474,1.14,0.76,-0.58,-0.12,2.27,2.24,1.6,1.14,2.2364,0.7088,1.2332,3.9578,3.9236
상춘재,6507,4.6,1.33,5.5813,0,0,4.2768,0.8228,0.64,0.72,-0.58,-0.6,1.45,-0.14,1.6,0.64,1.5808,0.7488,0.736,2.048,1.0304
상춘재,6507,4.6,1,2.8363,0,0,0,0,0.23,-0.14,-0.58,-0.6,-0.72,-0.67,1.6,0.23,0.8828,0.7816,0.777,0.7494,0.7609
상춘재,6507,4.6,1.12,11.0063,0,1.8486,7.7031,3.4509,0.38,2.42,-0.58,0.32,3.18,1.59,1.6,0.38,1.9096,0.7696,1.1116,2.1984,1.5942
상춘재,6507,4.6,0,0,1,0,0,0,-1.01,-1.03,0.41,-0.6,-0.72,-0.67,1.6,-1.01,1.3353,-0.1191,0.901,1.0222,0.9717
상춘재,6507,4.6,1.86,7.468,0,0.8927,0.8532,1.7046,1.3,1.31,-0.58,-0.16,-0.29,0.44,1.6,1.3,3.153,0.696,1.242,1.073,2.022
상춘재,6507,4.6,1.07,15.3808,0.8203,3.4974,5.9503,3.528,0.32,3.8,0.23,1.14,2.29,1.64,1.6,0.32,2.176,1.0336,1.3248,1.6928,1.4848
상춘재,6507,4.6,0.64,4.1893,1.7222,0,5.1015,2.7255,-0.21,0.28,1.12,-0.6,1.86,1.11,1.6,-0.21,0.6362,0.4598,0.821,0.3044,0.4619
상춘재,6507,4.6,2,3.8358,0,0,2.6319,0.918,1.48,0.17,-0.58,-0.6,0.61,-0.07,1.6,1.48,1.7916,0.6816,0.652,2.4428,1.4364
