"V1","V2","V3","V4","V5","V6","V7","V8","V9"
15277.8608977509,31077.4839359694,29930.5054286612,31717.1590564652,27867.0723340637,15363.5121438207,40516.4058152641,34339.3848405799,13913.1948428737
29500.4336558913,29297.1221097741,27079.725827685,29876.6280116601,27420.774390654,28594.0436134794,34225.6354280457,28516.0279796738,469.076520935719
15939.5701754587,30086.6843174128,28930.4644745158,30726.4556406807,26888.7987158069,15351.2615761117,39520.7802229204,33343.6371021102,13464.8289606755
29490.2067287402,27500.9490778461,25289.1095743685,28080.8215873774,25633.7038339496,27910.5298207933,32582.90673729,26823.116796997,1945.70700046021
2415.51992650365,42820.6347226419,42638.3353094709,43411.4248901095,39107.3869063046,11887.0256476849,54522.5155630627,48516.8236218398,31458.6226544487
39038.5251293122,26364.4496479263,65825.5098617739,37348.4525060072,12365.6912117473,15828.0378860166,22208.1779792352,24169.662253812,29341.3448771648
38867.3288113935,26146.6384056293,65706.9694870006,37170.1442180715,12270.8092144671,15606.5938989816,21987.0183971398,24136.7969899137,29318.1134450517
42133.1021413355,26757.2529285902,70338.9332567785,40179.3519517587,17704.0602551963,15180.6304408802,22034.6692999132,30114.0223170618,35357.5787535947
28390.6254323193,29467.3828285357,47265.7278091628,28151.521345827,11492.258403554,26870.0379599281,28724.9769219886,2528.26927623859,7191.64717476991
28517.7190173508,24509.5334460926,51709.6648939998,27607.5586265313,4158.80280822012,19998.9193013438,22837.0489884004,9072.05622287375,14353.1822731265
26724.3493871548,32758.4812384115,41068.1374104905,27166.0829384876,18101.8784505089,32379.3409941085,33021.9199759689,5283.12751591842,631.861209549414
27523.7201043457,23895.9375096118,50798.857601197,26628.8123430493,4277.12244749564,19840.2891298731,22394.7296000002,8628.66691082509,13934.0650944923
24927.9577670161,31372.59781225,39916.5546478467,25379.5705583924,17750.4520268217,31495.8804452817,31827.7861059945,5345.40062409672,2422.38966025057
